FBpp_ID	Species	muscle_dietM	whole_body_dietM	muscle_dietP	whole_body_dietP
FBpp0077478	Dmel	0.0200983948182985	0.509618526702617	0.011819340530364	0.458463737948721
FBpp0077477	Dmel	0	0.521191096004606	0	0.478808903995394
FBpp0077437	Dmel	0.00693980218909502	0.521400614261918	0.0130952709774749	0.458564312571512
FBpp0077438	Dmel	0	0.5126726116529	0.00496382069133591	0.482363567655764
FBpp0100109	Dmel	0.234888697098807	0.275601475461131	0.20975411376147	0.279755713678591
FBpp0311004	Dmel	0.0838723043813698	0.432210292995449	0.0741795444222936	0.409737858200888
FBpp0077475	Dmel	0.250982789877176	0.251586694219274	0.240151442271262	0.257279073632288
FBpp0077443	Dmel	0.245652425740336	0.255214522918049	0.235652299354164	0.263480751987451
FBpp0303517	Dmel	0.0550013750326942	0.570188081184087	0.0467293540394353	0.328081189743783
FBpp0077468	Dmel	0.264859523575647	0.236494830119532	0.268616012642747	0.230029633662074
FBpp0077444	Dmel	0.241115421075876	0.268922787688619	0.205456432921988	0.284505358313517
FBpp0077445	Dmel	0.254380119543212	0.242139636506537	0.252042455011322	0.251437788938929
FBpp0303533	Dmel	0.269029152410089	0.235206408488011	0.257037656311309	0.238726782790591
FBpp0077448	Dmel	0.255729936728578	0.282843579237431	0.19440581523514	0.267020668798851
FBpp0077467	Dmel	0.00919836687906842	0.534323803952988	0.00567204797156704	0.450805781196377
FBpp0303534	Dmel	0.00353343590057998	0.539682158654741	0	0.456784405444679
FBpp0423421	Dmel	0.0263325009680814	0.517337661830968	0.0139414958917851	0.442388341309165
FBpp0077449	Dmel	0.000776931274581633	0.494884717427754	0.0201003372199495	0.484238014077715
FBpp0297922	Dmel	0.209554172449423	0.306264265936603	0.215813613880294	0.268367947733681
FBpp0077464	Dmel	0.00791818855094078	0.527853129083818	0.00273527867965495	0.461493403685587
FBpp0111664	Dmel	0	0.521772425672038	0	0.478227574327962
FBpp0303630	Dmel	0.281063973746599	0.602877344229648	0	0.116058682023753
FBpp0077450	Dmel	0.259004125524126	0.248298247713208	0.25103220351093	0.241665423251736
FBpp0077452	Dmel	0.254382584953799	0.250687829741212	0.245982425686005	0.248947159618984
FBpp0077461	Dmel	0.247502828714311	0.254083231881891	0.244154248520704	0.254259690883093
FBpp0077459	Dmel	0.227563103821939	0.276539041596646	0.205185686925691	0.290712167655724
FBpp0077460	Dmel	0	0.538978819147869	0	0.461021180852131
